EntityId,LinkApplicable,Calculations,DimOrFact,Process,Notes
BudgetModels,0,0,DIM,0,
Budgets,0,0,FACT,0,
BudgetKPIs,0,0,FACT,0,
Companies,0,0,DIM,0,
Currencies,0,0,DIM,0,
Customers,0,0,DIM,0,
DefaultDimensions,0,0,DIM,0,
MainAccounts,0,0,DIM,1,
MainAccountCategories,0,0,DIM,1,
FinancialActivity,0,0,FACT,0,
FinancialActivityKPIs,0,0,FACT,0,
FiscalCalendar,0,0,DIM,0,
Invoices,0,0,FACT,0,
Inventory,0,0,DIM,0,
Ledger,0,0,DIM,0,
LedgerDimensions,0,0,DIM,1,
Orders,0,0,FACT,0,
Partition,0,0,DIM,0,
Payables,0,0,FACT,0,
ProcurementCategories,0,0,DIM,0,
Products,0,0,DIM,0,
Projects,0,0,DIM,0,
ProjectCategories,0,0,DIM,0,
PurchaseInvoices,0,0,FACT,0,
PurchaseOrders,0,0,FACT,0,
PurchaseReceipts,0,0,FACT,0,
PurchaseRequisitions,0,0,FACT,0,
Receivables,0,0,FACT,0,
Vendors,0,0,DIM,0,
